driverId,year,total_points,races_entered,dnfs,avg_grid,avg_finish,completed_races,ref,constructor
3,2014,317.0,19,2,1.7058823529411764,2.5294117647058822,16,rosberg,131
825,2014,55.0,19,1,8.833333333333334,9.38888888888889,12,kevin_magnussen,1
18,2014,126.0,19,1,8.333333333333334,7.5,13,button,1
4,2014,161.0,19,2,6.588235294117647,5.411764705882353,17,alonso,6
822,2014,186.0,19,1,5.833333333333333,5.555555555555555,17,bottas,3
807,2014,96.0,19,2,10.941176470588236,7.705882352941177,15,hulkenberg,10
8,2014,55.0,19,1,8.88888888888889,9.166666666666666,12,raikkonen,6
818,2014,22.0,19,5,11.285714285714286,10.5,10,vergne,5
826,2014,8.0,19,5,12.0,11.571428571428571,6,kvyat,5
815,2014,59.0,19,4,12.133333333333333,8.866666666666667,9,perez,10
821,2014,0.0,19,6,16.0,15.076923076923077,1,gutierrez,15
820,2014,0.0,16,3,19.53846153846154,16.153846153846153,1,chilton,206
824,2014,2.0,15,3,17.583333333333332,15.916666666666666,1,jules_bianchi,206
828,2014,0.0,16,5,20.363636363636363,17.181818181818183,1,ericsson,207
20,2014,167.0,19,3,7.5,5.0625,16,vettel,9
1,2014,384.0,19,3,4.6875,1.4375,16,hamilton,131
13,2014,134.0,19,3,7.1875,7.375,12,massa,3
817,2014,238.0,19,3,6.4375,3.75,17,ricciardo,9
827,2014,0.0,1,1,21.0,,0,lotterer,207
16,2014,0.0,19,7,13.916666666666666,14.666666666666666,2,sutil,15
813,2014,2.0,19,6,18.076923076923077,13.692307692307692,4,maldonado,208
155,2014,0.0,16,7,19.22222222222222,15.777777777777779,1,kobayashi,207
829,2014,0.0,1,0,17.0,17.0,0,stevens,207
1,2015,381.0,19,1,1.3888888888888888,1.7222222222222223,18,hamilton,131
3,2015,322.0,19,1,2.111111111111111,3.0555555555555554,17,rosberg,131
20,2015,278.0,19,1,5.444444444444445,3.3333333333333335,17,vettel,6
13,2015,121.0,19,3,7.3125,7.1875,13,massa,3
831,2015,27.0,19,3,13.5625,10.8125,8,nasr,15
817,2015,92.0,19,2,8.176470588235293,8.294117647058824,8,ricciardo,9
807,2015,58.0,19,6,9.76923076923077,8.76923076923077,6,hulkenberg,10
828,2015,9.0,19,3,14.125,12.0625,5,ericsson,15
832,2015,18.0,19,7,11.166666666666666,10.166666666666666,5,sainz,5
815,2015,78.0,19,1,10.11111111111111,8.555555555555555,8,perez,10
18,2015,16.0,19,6,14.846153846153847,12.076923076923077,5,button,1
8,2015,150.0,19,5,5.785714285714286,4.785714285714286,13,raikkonen,6
830,2015,49.0,19,4,11.2,9.8,8,max_verstappen,5
826,2015,95.0,19,3,9.75,7.5,8,kvyat,9
825,2015,0.0,1,1,17.0,,0,kevin_magnussen,1
822,2015,136.0,19,2,5.823529411764706,6.764705882352941,14,bottas,3
4,2015,11.0,18,7,16.0,12.181818181818182,3,alonso,1
829,2015,0.0,18,3,17.733333333333334,16.066666666666666,0,stevens,209
834,2015,0.0,5,0,17.8,15.4,1,rossi,209
3,2016,385.0,21,1,1.8,2.25,20,rosberg,131
1,2016,380.0,21,2,4.473684210526316,2.1052631578947367,19,hamilton,131
20,2016,212.0,21,4,6.0588235294117645,4.0588235294117645,17,vettel,6
817,2016,256.0,21,0,3.9047619047619047,4.380952380952381,20,ricciardo,9
13,2016,53.0,21,3,9.777777777777779,9.944444444444445,10,massa,3
807,2016,72.0,21,4,8.058823529411764,9.058823529411764,12,hulkenberg,10
822,2016,85.0,21,2,8.052631578947368,8.526315789473685,12,bottas,3
832,2016,46.0,21,4,11.117647058823529,10.352941176470589,8,sainz,5
830,2016,204.0,21,3,5.166666666666667,4.888888888888889,18,max_verstappen,9
835,2016,1.0,21,6,17.0,14.2,3,jolyon_palmer,4
825,2016,7.0,21,4,17.647058823529413,13.941176470588236,3,kevin_magnussen,4
815,2016,101.0,21,0,9.761904761904763,8.571428571428571,14,perez,10
18,2016,21.0,21,6,13.733333333333333,11.2,5,button,1
831,2016,2.0,21,4,18.529411764705884,15.235294117647058,1,nasr,15
828,2016,0.0,21,5,18.5625,14.9375,0,ericsson,15
8,2016,186.0,21,4,5.235294117647059,4.705882352941177,17,raikkonen,6
837,2016,0.0,12,3,19.555555555555557,18.22222222222222,0,haryanto,209
821,2016,0.0,21,5,13.8125,13.75,2,gutierrez,210
4,2016,54.0,20,3,12.294117647058824,10.176470588235293,8,alonso,1
826,2016,25.0,21,6,13.4,12.0,5,kvyat,5
1,2017,363.0,20,0,3.6,2.7,19,hamilton,131
20,2017,317.0,20,2,3.3333333333333335,2.5555555555555554,18,vettel,6
830,2017,168.0,20,7,6.846153846153846,4.230769230769231,12,max_verstappen,9
817,2017,200.0,20,6,7.5,3.4285714285714284,14,ricciardo,9
8,2017,205.0,20,3,3.9411764705882355,4.470588235294118,16,raikkonen,6
822,2017,305.0,20,1,3.3684210526315788,2.9473684210526314,19,bottas,131
832,2017,54.0,20,8,10.666666666666666,8.25,6,sainz,5
825,2017,19.0,20,5,13.533333333333333,11.466666666666667,4,kevin_magnussen,210
815,2017,100.0,20,1,9.0,7.894736842105263,10,perez,10
807,2017,43.0,20,6,9.071428571428571,10.071428571428571,6,hulkenberg,4
835,2017,8.0,16,5,14.454545454545455,12.0,3,jolyon_palmer,4
13,2017,43.0,19,2,10.529411764705882,9.352941176470589,7,massa,3
828,2017,0.0,20,6,16.928571428571427,14.785714285714286,2,ericsson,15
4,2017,17.0,19,8,13.090909090909092,11.181818181818182,3,alonso,1
826,2017,5.0,15,4,12.727272727272727,12.0,1,kvyat,5
838,2017,13.0,20,6,14.142857142857142,11.714285714285714,3,vandoorne,1
841,2017,0.0,2,1,16.0,12.0,0,giovinazzi,15
840,2017,40.0,20,4,14.125,11.1875,4,stroll,3
18,2017,0.0,1,1,20.0,,0,button,1
814,2017,0.0,1,1,19.0,,0,resta,3
843,2017,0.0,4,2,19.5,14.0,0,brendon_hartley,5
20,2018,320.0,21,1,2.95,3.15,20,vettel,6
1,2018,408.0,21,1,2.75,1.95,20,hamilton,131
8,2018,251.0,21,4,3.7058823529411766,3.235294117647059,17,raikkonen,6
817,2018,170.0,21,8,8.076923076923077,4.0,13,ricciardo,9
4,2018,50.0,21,6,13.133333333333333,10.2,5,alonso,1
830,2018,249.0,21,4,6.823529411764706,3.4705882352941178,17,max_verstappen,9
807,2018,69.0,21,7,9.857142857142858,8.071428571428571,8,hulkenberg,4
822,2018,247.0,21,2,4.368421052631579,3.8947368421052633,18,bottas,131
838,2018,12.0,21,2,16.157894736842106,12.473684210526315,5,vandoorne,1
832,2018,53.0,21,2,9.789473684210526,9.473684210526315,9,sainz,4
815,2018,62.0,21,2,11.0,9.789473684210526,11,perez,10
844,2018,39.0,21,6,12.666666666666666,10.133333333333333,7,leclerc,15
840,2018,6.0,21,2,16.263157894736842,13.842105263157896,4,stroll,3
843,2018,4.0,21,6,15.066666666666666,13.266666666666667,2,brendon_hartley,5
825,2018,56.0,21,3,10.38888888888889,10.11111111111111,9,kevin_magnussen,210
828,2018,9.0,21,4,15.882352941176471,11.882352941176471,4,ericsson,15
845,2018,1.0,21,3,16.666666666666668,14.833333333333334,2,sirotkin,3
