driverId,year,DNF_rate,ref,constructor,constructorRef,position_delta,high_alt_sucess_rate,team_avg_position,dvt,finish_volatility,years_active,top10,avg_finish
3,2014,0.15789473684210525,rosberg,131,mercedes,-0.8235294117647058,1.0,1.9210526315789473,-0.3166800966962127,2.952917740708502,0,0.9411764705882353,2.5294117647058822
825,2014,0.3684210526315789,kevin_magnussen,1,mclaren,-0.5555555555555554,1.0,8.710526315789474,-0.07787848271231954,2.8507092468149993,0,0.6666666666666666,9.38888888888889
18,2014,0.3157894736842105,button,1,mclaren,0.8333333333333339,0.5,8.710526315789474,0.13897280966767378,3.6704525909242065,0,0.7222222222222222,7.5
4,2014,0.10526315789473684,alonso,6,ferrari,1.1764705882352935,0.5,7.473684210526316,0.27589063794531893,1.8168759072330003,0,1.0,5.411764705882353
822,2014,0.10526315789473684,bottas,3,williams,0.2777777777777777,0.5,6.157894736842105,0.09781576448243119,2.650413431528125,0,0.9444444444444444,5.555555555555555
807,2014,0.21052631578947367,hulkenberg,10,force_india,3.235294117647059,0.0,8.058823529411764,0.04379562043795616,2.2948716709566073,0,0.8823529411764706,7.705882352941177
8,2014,0.3684210526315789,raikkonen,6,ferrari,-0.2777777777777768,0.5,7.473684210526316,-0.22652582159624404,2.3392781412696997,0,0.7222222222222222,9.166666666666666
818,2014,0.47368421052631576,vergne,5,toro_rosso,0.7857142857142865,0.0,11.088235294117647,0.05305039787798406,2.1957751641342003,0,0.5,10.5
826,2014,0.6842105263157895,kvyat,5,toro_rosso,0.4285714285714288,0.5,11.088235294117647,-0.04357711254262979,2.094696899802168,0,0.35714285714285715,11.571428571428571
815,2014,0.5263157894736842,perez,10,force_india,3.2666666666666657,0.5,8.058823529411764,-0.10024330900243318,2.6549743668986507,0,0.8,8.866666666666667
821,2014,0.9473684210526315,gutierrez,15,sauber,0.9230769230769234,0.5,14.666666666666666,-0.027972027972027996,1.979181589272093,0,0.0,15.076923076923077
820,2014,0.9375,chilton,206,marussia,3.384615384615387,0.0,15.964285714285714,-0.01187403200826021,1.9153691689213432,0,0.0,16.153846153846153
828,2014,0.9375,ericsson,207,caterham,3.18181818181818,0.0,16.642857142857142,-0.032383925087787875,2.724240738867581,0,0.0,17.181818181818183
20,2014,0.15789473684210525,vettel,9,red_bull,2.4375,0.5,4.444444444444445,-0.13906249999999995,1.7842628029525245,0,1.0,5.0625
1,2014,0.15789473684210525,hamilton,131,mercedes,3.25,0.0,1.9210526315789473,0.2517123287671233,0.7043392293490404,0,1.0,1.4375
817,2014,0.10526315789473684,ricciardo,9,red_bull,2.6875,0.0,4.444444444444445,0.15625000000000003,1.9525624189766635,0,1.0,3.75
827,2014,1.0,lotterer,207,caterham,,,16.642857142857142,,,0,,
16,2014,0.8947368421052632,sutil,15,sauber,-0.75,0.5,14.666666666666666,0.0,2.6874192494328497,0,0.0,14.666666666666666
813,2014,0.7894736842105263,maldonado,208,lotus_f1,4.384615384615385,1.0,13.0,-0.05325443786982243,2.3331924443235543,0,0.07692307692307693,13.692307692307692
155,2014,0.9375,kobayashi,207,caterham,3.444444444444443,0.0,16.642857142857142,0.05197901764425362,1.9309052441091963,0,0.0,15.777777777777779
829,2014,1.0,stevens,207,caterham,0.0,,16.642857142857142,-0.02145922746781119,0.0,0,0.0,17.0
1,2015,0.05263157894736842,hamilton,131,mercedes,-0.3333333333333335,0.0,2.3947368421052633,0.28083028083028083,1.1928283640879938,1,1.0,1.7222222222222223
3,2015,0.10526315789473684,rosberg,131,mercedes,-0.9444444444444442,1.0,2.3947368421052633,-0.2759462759462758,3.748662312852742,1,0.9444444444444444,3.0555555555555554
20,2015,0.10526315789473684,vettel,6,ferrari,2.111111111111111,0.3333333333333333,3.8333333333333335,0.13043478260869565,2.403700850309326,1,0.9444444444444444,3.3333333333333335
13,2015,0.3157894736842105,massa,3,williams,0.125,0.6666666666666666,6.777777777777778,-0.060450819672131166,4.080728335726356,1,0.8125,7.1875
831,2015,0.5789473684210527,nasr,15,sauber,2.75,0.0,11.31578947368421,0.04447674418604652,2.8552309451251046,0,0.375,10.8125
817,2015,0.5789473684210527,ricciardo,9,red_bull,-0.11764705882353077,0.3333333333333333,7.7894736842105265,-0.06478537360890309,3.7221863575426766,1,0.7647058823529411,8.294117647058824
807,2015,0.6842105263157895,hulkenberg,10,force_india,1.0,1.0,8.305555555555555,-0.05582711602778505,3.141627362563406,1,0.6923076923076923,8.76923076923077
828,2015,0.7368421052631579,ericsson,15,sauber,2.0625,0.3333333333333333,11.31578947368421,-0.06598837209302325,2.1928505991061042,1,0.3125,12.0625
832,2015,0.7368421052631579,sainz,5,toro_rosso,1.0,0.0,9.617647058823529,-0.057084607543323125,1.818118685772619,0,0.5833333333333334,10.166666666666666
815,2015,0.5789473684210527,perez,10,force_india,1.5555555555555554,0.3333333333333333,8.305555555555555,-0.030100334448160536,2.9668955384041533,1,0.6666666666666666,8.555555555555555
18,2015,0.7368421052631579,button,1,mclaren,2.76923076923077,0.0,12.033333333333333,-0.0036224163647986234,3.074999398662567,1,0.3076923076923077,12.076923076923077
8,2015,0.3157894736842105,raikkonen,6,ferrari,1.0,0.3333333333333333,3.8333333333333335,-0.248447204968944,1.7799908277681589,1,1.0,4.785714285714286
