resultId,raceId,driverId,constructorId,grid,position,positionOrder,points,laps,milliseconds,statusId,driverRef,dob,year,round,circuitId,circuitRef,lat,lng,alt,team_avg_position
1,18,1,1,1,1,1,10.0,58,5690616,1,hamilton,1985-01-07,2008,1,1,albert_park,-37.8497,144.968,10,
2,18,2,2,5,2,2,8.0,58,5696094,1,heidfeld,1977-05-10,2008,1,1,albert_park,-37.8497,144.968,10,
3,18,3,3,7,3,3,6.0,58,5698779,1,rosberg,1985-06-27,2008,1,1,albert_park,-37.8497,144.968,10,
4,18,4,4,11,4,4,5.0,58,5707797,1,alonso,1981-07-29,2008,1,1,albert_park,-37.8497,144.968,10,
5,18,5,1,3,5,5,4.0,58,5708630,1,kovalainen,1981-10-19,2008,1,1,albert_park,-37.8497,144.968,10,
6,18,6,3,13,6,6,3.0,57,,11,nakajima,1985-01-11,2008,1,1,albert_park,-37.8497,144.968,10,
7,18,7,5,17,7,7,2.0,55,,5,bourdais,1979-02-28,2008,1,1,albert_park,-37.8497,144.968,10,
8,18,8,6,15,8,8,1.0,53,,5,raikkonen,1979-10-17,2008,1,1,albert_park,-37.8497,144.968,10,
9,18,9,2,2,,9,0.0,47,,4,kubica,1984-12-07,2008,1,1,albert_park,-37.8497,144.968,10,
10,18,10,7,18,,10,0.0,43,,3,glock,1982-03-18,2008,1,1,albert_park,-37.8497,144.968,10,
11,18,11,8,19,,11,0.0,32,,7,sato,1977-01-28,2008,1,1,albert_park,-37.8497,144.968,10,
12,18,12,4,20,,12,0.0,30,,8,piquet_jr,1985-07-25,2008,1,1,albert_park,-37.8497,144.968,10,
13,18,13,6,4,,13,0.0,29,,5,massa,1981-04-25,2008,1,1,albert_park,-37.8497,144.968,10,
17,18,17,9,14,,17,0.0,0,,4,webber,1976-08-27,2008,1,1,albert_park,-37.8497,144.968,10,
18,18,18,11,12,,18,0.0,0,,4,button,1980-01-19,2008,1,1,albert_park,-37.8497,144.968,10,
19,18,19,8,21,,19,0.0,0,,4,davidson,1979-04-18,2008,1,1,albert_park,-37.8497,144.968,10,
20,18,20,5,9,,20,0.0,0,,4,vettel,1987-07-03,2008,1,1,albert_park,-37.8497,144.968,10,
21,18,21,10,16,,21,0.0,0,,4,fisichella,1973-01-14,2008,1,1,albert_park,-37.8497,144.968,10,
22,18,22,11,10,,22,0.0,58,,2,barrichello,1972-05-23,2008,1,1,albert_park,-37.8497,144.968,10,
45,20,13,6,2,1,1,10.0,57,5466970,1,massa,1981-04-25,2008,3,3,bahrain,26.0325,50.5106,7,
46,20,8,6,4,2,2,8.0,57,5470309,1,raikkonen,1979-10-17,2008,3,3,bahrain,26.0325,50.5106,7,
47,20,9,2,1,3,3,6.0,57,5471968,1,kubica,1984-12-07,2008,3,3,bahrain,26.0325,50.5106,7,
48,20,2,2,6,4,4,5.0,57,5475379,1,heidfeld,1977-05-10,2008,3,3,bahrain,26.0325,50.5106,7,
49,20,5,1,5,5,5,4.0,57,5493759,1,kovalainen,1981-10-19,2008,3,3,bahrain,26.0325,50.5106,7,
51,20,17,9,11,7,7,2.0,57,5512443,1,webber,1976-08-27,2008,3,3,bahrain,26.0325,50.5106,7,
52,20,3,3,8,8,8,1.0,57,5522859,1,rosberg,1985-06-27,2008,3,3,bahrain,26.0325,50.5106,7,
53,20,10,7,13,9,9,0.0,57,5536470,1,glock,1982-03-18,2008,3,3,bahrain,26.0325,50.5106,7,
54,20,4,4,10,10,10,0.0,57,5544151,1,alonso,1981-07-29,2008,3,3,bahrain,26.0325,50.5106,7,
55,20,22,11,12,11,11,0.0,57,5544832,1,barrichello,1972-05-23,2008,3,3,bahrain,26.0325,50.5106,7,
56,20,21,10,18,12,12,0.0,56,,11,fisichella,1973-01-14,2008,3,3,bahrain,26.0325,50.5106,7,
57,20,1,1,3,13,13,0.0,56,,11,hamilton,1985-01-07,2008,3,3,bahrain,26.0325,50.5106,7,
58,20,6,3,16,14,14,0.0,56,,11,nakajima,1985-01-11,2008,3,3,bahrain,26.0325,50.5106,7,
59,20,7,5,15,15,15,0.0,56,,11,bourdais,1979-02-28,2008,3,3,bahrain,26.0325,50.5106,7,
60,20,19,8,21,16,16,0.0,56,,11,davidson,1979-04-18,2008,3,3,bahrain,26.0325,50.5106,7,
61,20,11,8,22,17,17,0.0,56,,11,sato,1977-01-28,2008,3,3,bahrain,26.0325,50.5106,7,
64,20,12,4,14,,20,0.0,40,,6,piquet_jr,1985-07-25,2008,3,3,bahrain,26.0325,50.5106,7,
65,20,18,11,9,,21,0.0,19,,4,button,1980-01-19,2008,3,3,bahrain,26.0325,50.5106,7,
66,20,20,5,19,,22,0.0,0,,5,vettel,1987-07-03,2008,3,3,bahrain,26.0325,50.5106,7,
67,21,8,6,1,1,1,10.0,66,5899051,1,raikkonen,1979-10-17,2008,4,4,catalunya,41.57,2.26111,109,
68,21,13,6,3,2,2,8.0,66,5902279,1,massa,1981-04-25,2008,4,4,catalunya,41.57,2.26111,109,
69,21,1,1,5,3,3,6.0,66,5903238,1,hamilton,1985-01-07,2008,4,4,catalunya,41.57,2.26111,109,
70,21,9,2,4,4,4,5.0,66,5904745,1,kubica,1984-12-07,2008,4,4,catalunya,41.57,2.26111,109,
71,21,17,9,7,5,5,4.0,66,5934989,1,webber,1976-08-27,2008,4,4,catalunya,41.57,2.26111,109,
72,21,18,11,13,6,6,3.0,66,5952061,1,button,1980-01-19,2008,4,4,catalunya,41.57,2.26111,109,
73,21,6,3,12,7,7,2.0,66,5957295,1,nakajima,1985-01-11,2008,4,4,catalunya,41.57,2.26111,109,
75,21,2,2,9,9,9,0.0,66,5962124,1,heidfeld,1977-05-10,2008,4,4,catalunya,41.57,2.26111,109,
76,21,21,10,19,10,10,0.0,65,,11,fisichella,1973-01-14,2008,4,4,catalunya,41.57,2.26111,109,
77,21,10,7,14,11,11,0.0,65,,11,glock,1982-03-18,2008,4,4,catalunya,41.57,2.26111,109,
79,21,11,8,22,13,13,0.0,65,,11,sato,1977-01-28,2008,4,4,catalunya,41.57,2.26111,109,
80,21,3,3,15,,14,0.0,41,,5,rosberg,1985-06-27,2008,4,4,catalunya,41.57,2.26111,109,
81,21,4,4,2,,15,0.0,34,,5,alonso,1981-07-29,2008,4,4,catalunya,41.57,2.26111,109,
82,21,22,11,11,,16,0.0,34,,4,barrichello,1972-05-23,2008,4,4,catalunya,41.57,2.26111,109,
83,21,5,1,6,,17,0.0,21,,3,kovalainen,1981-10-19,2008,4,4,catalunya,41.57,2.26111,109,
84,21,19,8,21,,18,0.0,8,,21,davidson,1979-04-18,2008,4,4,catalunya,41.57,2.26111,109,
85,21,7,5,16,,19,0.0,7,,4,bourdais,1979-02-28,2008,4,4,catalunya,41.57,2.26111,109,
86,21,12,4,10,,20,0.0,6,,4,piquet_jr,1985-07-25,2008,4,4,catalunya,41.57,2.26111,109,
88,21,20,5,18,,22,0.0,0,,4,vettel,1987-07-03,2008,4,4,catalunya,41.57,2.26111,109,
89,22,13,6,1,1,1,10.0,58,5209451,1,massa,1981-04-25,2008,5,5,istanbul,40.9517,29.405,130,
90,22,1,1,3,2,2,8.0,58,5213230,1,hamilton,1985-01-07,2008,5,5,istanbul,40.9517,29.405,130,
91,22,8,6,4,3,3,6.0,58,5213722,1,raikkonen,1979-10-17,2008,5,5,istanbul,40.9517,29.405,130,
92,22,9,2,5,4,4,5.0,58,5231396,1,kubica,1984-12-07,2008,5,5,istanbul,40.9517,29.405,130,
93,22,2,2,9,5,5,4.0,58,5248192,1,heidfeld,1977-05-10,2008,5,5,istanbul,40.9517,29.405,130,
94,22,4,4,7,6,6,3.0,58,5263175,1,alonso,1981-07-29,2008,5,5,istanbul,40.9517,29.405,130,
95,22,17,9,6,7,7,2.0,58,5273680,1,webber,1976-08-27,2008,5,5,istanbul,40.9517,29.405,130,
96,22,3,3,11,8,8,1.0,58,5280857,1,rosberg,1985-06-27,2008,5,5,istanbul,40.9517,29.405,130,
99,22,18,11,13,11,11,0.0,57,,11,button,1980-01-19,2008,5,5,istanbul,40.9517,29.405,130,
100,22,5,1,2,12,12,0.0,57,,11,kovalainen,1981-10-19,2008,5,5,istanbul,40.9517,29.405,130,
101,22,10,7,15,13,13,0.0,57,,11,glock,1982-03-18,2008,5,5,istanbul,40.9517,29.405,130,
102,22,22,11,12,14,14,0.0,57,,11,barrichello,1972-05-23,2008,5,5,istanbul,40.9517,29.405,130,
103,22,12,4,17,15,15,0.0,57,,11,piquet_jr,1985-07-25,2008,5,5,istanbul,40.9517,29.405,130,
105,22,20,5,14,17,17,0.0,57,,11,vettel,1987-07-03,2008,5,5,istanbul,40.9517,29.405,130,
